,Roll_Num,Uni_ID,Student Name,Subject,Percentage
116,10123757,20012347,AAA AAA347,CSL3307,71.11
117,10123758,20012348,AAA AAA348,CSL3307,35.56
118,10123759,20012349,AAA AAA349,ECL3311,0
119,10123760,20012350,AAA AAA350,ECL3311,0
120,10123765,20012355,AAA AAA355,CSL4207,71.19
121,10123767,20012357,AAA AAA357,CSL3307,46.67
122,10123768,20012358,AAA AAA358,CSL3307,62.22
123,10123769,20012359,AAA AAA359,CSL3307,66.67
124,10123772,20012362,AAA AAA362,CSL3307,71.11
125,10123774,20012364,AAA AAA364,CSL3307,64.44
126,10123775,20012365,AAA AAA365,CSL2301,70.97
127,10123776,20012366,AAA AAA366,CSL3307,68.89
128,10123777,20012367,AAA AAA367,ECL3311,0
129,10123778,20012368,AAA AAA368,ECL3311,72.41
130,10123779,20012369,AAA AAA369,CSL3307,57.78
131,10123781,20012371,AAA AAA371,CSL3307,53.33
132,10123783,20012373,AAA AAA373,CSL3307,53.33
133,10123784,20012374,AAA AAA374,CSL4318,67.74
134,10123787,20012377,AAA AAA377,CSL3307,64.44
135,10123789,20012379,AAA AAA379,CSL3307,60
136,10123790,20012380,AAA AAA380,CSL3307,64.44
137,10123793,20012383,AAA AAA383,CSL3307,71.11
138,10123795,20012385,AAA AAA385,CSL5210,66.67
139,10123796,20012386,AAA AAA386,CSL3307,46.67
140,10123800,20012390,AAA AAA390,ECL3311,0
141,10123801,20012391,AAA AAA391,CSL3307,64.44
142,10123806,20012396,AAA AAA396,CSL3307,66.67
143,10123807,20012397,AAA AAA397,CSP2301,74.19
144,10123808,20012398,AAA AAA398,CSL3307,71.11
145,10123809,20012399,AAA AAA399,CSL3307,73.33
146,10123810,20012400,AAA AAA400,CSL4207,72.13
147,10123811,20012401,AAA AAA401,ECL3311,74.14
148,10123813,20012403,AAA AAA403,CSL3307,71.11
149,10123814,20012404,AAA AAA404,CSL4207,73.77
150,10123815,20012405,AAA AAA405,ECL3311,72.41
151,10123817,20012407,AAA AAA407,ECL3311,0
152,10123827,20012417,AAA AAA417,CSL3307,71.11
153,10123828,20012418,AAA AAA418,CSL3307,6.67
154,10123830,20012420,AAA AAA420,ECL3311,73.91
155,10123832,20012422,AAA AAA422,CSL3307,20
156,10123838,20012428,AAA AAA428,ECL3311,69.57
