,Roll_Num,Uni_ID,Student Name,Subject,Percentage
115,10123828,20012418,AAA AAA418,CSP1307,6.67
116,10123830,20012420,AAA AAA420,CSP1307,73.33
117,10123832,20012422,AAA AAA422,CSP1307,20
118,10123838,20012428,AAA AAA428,CSP1307,73.33
119,10123853,20012443,AAA AAA443,CSP1307,56.25
120,10123854,20012444,AAA AAA444,CSP1307,6.25
121,10123855,20012445,AAA AAA445,CSP2210,71.67
122,10123860,20012450,AAA AAA450,CSP2210,71.67
123,10123862,20012452,AAA AAA452,CSP2210,70
124,10123863,20012453,AAA AAA453,CSP1307,62.5
125,10123865,20012455,AAA AAA455,CSP1307,56.25
126,10123867,20012457,AAA AAA457,CSP2210,65
127,10123869,20012459,AAA AAA459,CSP1307,68.75
128,10123870,20012460,AAA AAA460,CSP1307,68.75
129,10123871,20012461,AAA AAA461,CSP2210,71.67
130,10123873,20012463,AAA AAA463,CSP2210,66.67
131,10123882,20012472,AAA AAA472,CSP1307,62.5
132,10123886,20012476,AAA AAA476,CSP2210,37.29
133,10123895,20012485,AAA AAA485,ECP1311,0
134,10123896,20012486,AAA AAA486,ECP1311,0
135,10123897,20012487,AAA AAA487,CSP2210,73.73
136,10123898,20012488,AAA AAA488,CSP1307,71.43
137,10123899,20012489,AAA AAA489,CSP1307,50
138,10123909,20012499,AAA AAA499,CSP2210,33.9
139,10123910,20012500,AAA AAA500,CSP1307,50
140,10123916,20012506,AAA AAA506,CSP1307,73.33
141,10123919,20012509,AAA AAA509,CSP2210,72.41
142,10123920,20012510,AAA AAA510,CSP2210,74.14
143,10123921,20012511,AAA AAA511,ECP1311,0
144,10123925,20012515,AAA AAA515,ECP1311,0
145,10123927,20012517,AAA AAA517,CSP2210,70.69
146,10123933,20012523,AAA AAA523,CSP1307,73.33
147,10123934,20012524,AAA AAA524,CSP2210,69.83
148,10123937,20012527,AAA AAA527,ECP1311,0
149,10123939,20012529,AAA AAA529,CSP1307,73.33
150,10123940,20012530,AAA AAA530,ECP1311,0
151,10123942,20012532,AAA AAA532,CSP2210,66.38
152,10123944,20012534,AAA AAA534,CSP2210,0
153,10123946,20012536,AAA AAA536,ECP1311,50
154,10123950,20012540,AAA AAA540,CSP1307,46.67
155,10123951,20012541,AAA AAA541,CSP2210,0
156,10123953,20012543,AAA AAA543,CSP1307,73.33
157,10123962,20012552,AAA AAA552,CSP2210,0
158,10123964,20012554,AAA AAA554,CSP2210,0
159,10123965,20012555,AAA AAA555,CSP2210,0
160,10123967,20012557,AAA AAA557,CSP2210,0
161,10123968,20012558,AAA AAA558,CSP2210,0
162,10123969,20012559,AAA AAA559,CSP1307,50
163,10123970,20012560,AAA AAA560,CSP1307,71.43
164,10123971,20012561,AAA AAA561,CSP1307,71.43
165,10123973,20012563,AAA AAA563,CSP1307,71.43
166,10123974,20012564,AAA AAA564,ECP1311,68.97
167,10123975,20012565,AAA AAA565,ECP1311,68.97
168,10123976,20012566,AAA AAA566,CSP2210,73.33
169,10123978,20012568,AAA AAA568,ECP1311,68.97
170,10123979,20012569,AAA AAA569,CSP2210,0
171,10123980,20012570,AAA AAA570,ECP1311,72.41
172,10123983,20012573,AAA AAA573,CSP1307,35.71
173,10123985,20012575,AAA AAA575,CSP1307,64.29
174,10123987,20012577,AAA AAA577,ECP1311,62.07
175,10123988,20012578,AAA AAA578,CSP1307,71.43
176,10123991,20012581,AAA AAA581,CSP1307,0
177,10123992,20012582,AAA AAA582,CSP2210,0
178,10123993,20012583,AAA AAA583,CSP2210,70
179,10123994,20012584,AAA AAA584,CSP2210,70
180,10123997,20012587,AAA AAA587,CSP2210,66.67
181,10123998,20012588,AAA AAA588,CSP1307,71.43
182,10123999,20012589,AAA AAA589,CSP1307,50
183,10124000,20012590,AAA AAA590,ECP1311,71.43
184,10124001,20012591,AAA AAA591,ECP1311,0
185,10124002,20012592,AAA AAA592,ECP1311,0
186,10124003,20012593,AAA AAA593,ECP1311,71.43
187,10124005,20012595,AAA AAA595,ECP1311,71.43
188,10124006,20012596,AAA AAA596,ECP1311,71.43
189,10124008,20012598,AAA AAA598,ECP1311,71.43
190,10124009,20012599,AAA AAA599,ECP1311,71.43
191,10124012,20012602,AAA AAA602,ECP1311,0
192,10124013,20012603,AAA AAA603,ECP1311,64.29
193,10124017,20012607,AAA AAA607,ECP1311,0
194,10124019,20012609,AAA AAA609,ECP1311,71.43
195,10124020,20012610,AAA AAA610,ECP1311,71.43
196,10124023,20012613,AAA AAA613,ECP1311,0
197,10124029,20012619,AAA AAA619,ECP1311,0
198,10124030,20012620,AAA AAA620,ECP1311,0
199,10124035,20012625,AAA AAA625,ECP1311,0
200,10124037,20012627,AAA AAA627,ECP1311,0
201,10124040,20012630,AAA AAA630,CSP2210,66.67
202,10124041,20012631,AAA AAA631,CSP2210,66.67
203,10124043,20012633,AAA AAA633,ECP1311,0
204,10124044,20012634,AAA AAA634,ECP1311,0
205,10124046,20012636,AAA AAA636,ECP1311,0
206,10124052,20012642,AAA AAA642,CSP2210,41.67
207,10124054,20012644,AAA AAA644,AMP1201,60
208,10124056,20012646,AAA AAA646,CSP1307,73.33
209,10124058,20012648,AAA AAA648,AMP1201,0
